time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
13.25999928,-34.15182114,10.39272499,302.45037842,-28.07691956,-4.27231216,-1.92116952,32.69054413,-11.73961353,453.64764404,-34.64421082,58.05253601,7.55604553
13.2699995,-33.26987457,10.52571297,302.55291748,-27.88564873,-4.27160072,-1.8551935,31.69972801,-12.0859766,453.0357666,-34.74030304,57.95340729,7.65283203
13.27999973,-33.50245285,10.51982689,302.98223877,-27.98057938,-4.1730442,-2.11698651,33.22867203,-11.23316765,452.53070068,-34.64637756,57.8558197,7.68189526
13.28999996,-34.80278397,10.49691868,303.43844604,-28.26085663,-4.27053452,-1.69396687,32.43422699,-11.96953011,452.66635132,-34.64637756,57.8558197,7.68758059
13.29999924,-34.03638458,10.59946251,305.09579468,-28.35523796,-4.36907196,-1.92105711,32.85277176,-12.79356956,452.49862671,-34.45635986,57.85735703,7.74913359
13.30999947,-34.79798126,9.76430416,305.63790894,-28.45017052,-4.27051544,-1.96291864,32.05606079,-12.5186367,452.53924561,-34.64637756,57.8558197,8.01019859
13.31999969,-35.20534515,9.53766918,306.6161499,-28.63665581,-4.46690559,-1.92995286,30.78496552,-11.83390236,452.51095581,-34.45863724,57.65870667,7.94234133
13.32999992,-34.80176163,9.94357586,307.17654419,-28.73158646,-4.36834908,-1.5957427,32.32886887,-11.00998688,451.51873779,-34.45694351,57.85829163,7.84729767
13.34000015,-34.30392456,10.00378609,307.59109497,-28.82483101,-4.4665432,-2.28591871,32.9630394,-13.05355835,450.94024658,-34.36460114,57.56304932,7.25871134
13.34999943,-34.16000748,10.89944744,308.12905884,-28.91976357,-4.36798668,-2.01632094,31.66709709,-11.35511208,450.39715576,-34.26909256,57.66311264,8.03530025
13.35999966,-34.66601944,10.4419136,308.11016846,-28.91976357,-4.36798668,-1.75589573,31.3953476,-11.79618835,449.8548584,-34.17516327,57.56552505,7.2821908
13.36999989,-33.88037109,10.22898865,308.65078735,-29.01300621,-4.4661808,-1.48604298,32.40035248,-10.48530769,449.40039063,-34.08123779,57.46793365,7.31078148
13.38000011,-33.52592468,10.31525803,309.7767334,-29.2011795,-4.46582031,-1.95098364,31.15328598,-11.89823914,448.8638916,-33.79798508,57.37088394,7.57616425
13.38999939,-34.17474747,10.10162067,310.31845093,-29.29442215,-4.56401443,-1.85368752,32.41194153,-11.29988861,448.40338135,-34.08340454,57.27121735,7.61598969
13.39999962,-35.46479797,9.78302956,311.91629028,-29.38880539,-4.66255188,-1.96147907,31.68179703,-9.97515106,448.86633301,-33.79798508,57.37088394,7.90628433
13.40999985,-34.58898544,9.76746368,311.95474243,-29.38880539,-4.66255188,-1.8654952,30.84839821,-11.45583153,448.96624756,-33.79956818,57.17323303,7.65544367
13.42000008,-34.5725174,10.52508163,312.35906982,-29.48204803,-4.76074791,-2.12172961,31.64787292,-11.92717171,447.86553955,-33.80015182,57.17417145,7.37328386
13.42999935,-34.5670433,9.66008759,312.48043823,-29.48204803,-4.76074791,-1.95803642,32.16507339,-11.18196106,448.38851929,-33.8956604,57.07410812,7.24433088
13.43999958,-34.57868958,10.36466789,312.45022583,-29.48204803,-4.76074791,-2.2865994,31.88513565,-11.3277359,446.81097412,-33.8000412,57.17610168,7.53830814
13.44999981,-34.54953003,10.4549675,311.79840088,-29.57584,-4.66184807,-1.69149089,32.00227737,-9.79150772,446.86428833,-33.8000412,57.17610168,7.20986652
13.46000004,-34.69384003,10.16319942,313.00198364,-29.57697868,-4.66219139,-1.85865688,30.67378998,-10.71714783,446.68359375,-33.61229706,56.97899246,6.906106
13.46999931,-35.08431244,10.94598007,312.35800171,-29.66908264,-4.76004219,-1.82367861,32.50297546,-11.3841095,446.82739258,-33.8000412,57.17610168,7.32097435
13.47999954,-35.82752609,10.2399025,312.2109375,-29.66908264,-4.76004219,-1.75981867,32.51782227,-10.76004219,446.70516968,-33.8000412,57.17610168,7.47339392
13.48999977,-34.96264648,8.85943604,312.89144897,-29.57529068,-4.85894203,-1.43547153,31.88466263,-10.59915733,446.86572266,-33.9900589,57.17456436,7.67048216
13.5,-35.19089508,9.03542709,312.2857666,-29.66908264,-4.76004219,-2.28776288,32.38951492,-11.9006176,446.85803223,-33.9900589,57.17456436,7.78340578
13.50999928,-34.95943832,10.25938416,311.29721069,-29.67218018,-4.76111603,-2.22417545,32.64052582,-12.64669609,447.30245972,-33.89624023,57.07504272,7.78260279
13.5199995,-34.9537468,10.51239014,311.94900513,-29.57584,-4.66184807,-2.42182827,31.09239769,-11.32351875,446.28887939,-34.08615112,57.07543945,7.53518248
13.52999973,-35.08411789,9.51794052,311.31253052,-29.67218018,-4.76111603,-2.05843091,33.01673126,-12.99240303,447.2855835,-34.08557129,57.07450104,7.44845438
13.53999996,-35.06677246,9.42135715,311.86965942,-29.57584,-4.66184807,-2.02472758,31.39113426,-10.66851616,446.81991577,-34.18166351,56.97537613,7.58048677
13.54999924,-35.829216,9.69702148,312.29971313,-29.86035538,-4.76075363,-2.291821,31.49653625,-11.20034409,446.23886108,-34.08615112,57.07543945,7.7469635
13.55999947,-34.18263245,9.81273937,313.38510132,-29.67022133,-4.76038551,-1.75683105,32.23468781,-12.13640213,446.86035156,-34.18166351,56.97537613,7.66825151
13.56999969,-34.94137955,9.42410564,312.40438843,-29.86035538,-4.76075363,-2.2572124,31.11688805,-11.41037941,445.81201172,-33.99222565,56.97784805,7.64543247
13.57999992,-34.5766449,8.6826992,313.36502075,-29.85980415,-4.9578476,-2.16246819,32.38721466,-11.81331444,445.762146,-34.17996597,57.17496109,7.34727621
13.59000015,-36.00151062,9.72486877,313.06048584,-29.95359802,-4.85894775,-2.20286632,31.70874023,-11.73178864,445.86373901,-33.99222565,56.97784805,7.42422485
13.59999943,-34.44067383,8.93311501,312.43475342,-29.86035538,-4.76075363,-2.12893438,30.94045448,-11.94115448,445.75158691,-33.99222565,56.97784805,7.74670935
13.60999966,-35.8595047,9.32617378,311.80905151,-29.76542282,-4.85931015,-2.13281393,31.89914322,-11.21193314,444.76821899,-33.99438858,56.78113174,7.25428104
13.61999989,-35.21590805,9.53879929,311.89059448,-29.57584,-4.66184807,-2.22901654,31.46610069,-11.20530701,444.77362061,-33.99438858,56.78113174,7.61082935
13.63000011,-35.22516632,9.08675957,312.36248779,-29.66908264,-4.76004219,-1.96857476,32.21698761,-11.13228416,444.6920166,-33.99438858,56.78113174,7.64110565
13.63999939,-34.96113968,9.42910385,311.9130249,-29.57584,-4.66184807,-1.99758244,31.69849205,-11.46435547,444.76940918,-33.99438858,56.78113174,7.53393841
13.64999962,-34.82361984,10.57223511,312.95370483,-29.76401329,-4.66148567,-1.85782242,31.84823608,-10.38674545,445.31451416,-33.89829636,56.88026047,7.54316664
13.65999985,-35.34992218,9.22990227,312.41445923,-29.66908264,-4.76004219,-1.96962225,31.71066475,-11.48901939,445.27087402,-34.0860405,57.07736969,7.2846446
13.67000008,-35.46253967,9.69778919,312.490448,-29.86035538,-4.76075363,-2.12861443,30.20398712,-11.03615379,445.75576782,-33.99222565,56.97784805,8.03588772
13.67999935,-35.20047379,9.19267082,312.40206909,-29.67077065,-4.56329155,-2.06594205,31.85172462,-10.97754669,445.86611938,-33.99222565,56.97784805,7.57798195
13.68999958,-34.9442749,10.43223953,311.8616333,-29.76542282,-4.85931015,-1.85506248,32.02214432,-10.46369934,446.17636108,-34.27389145,57.27254868,7.47007561
13.69999981,-35.55956268,9.85673714,311.74307251,-29.57584,-4.66184807,-1.72768259,30.96836472,-12.00503731,447.38882446,-34.27558899,57.07296371,7.64909029
13.71000004,-36.09207153,10.30381584,311.24588013,-29.48259735,-4.56365204,-2.06220889,30.76232147,-10.91723633,447.28720093,-34.27400208,57.27061462,7.74369192
13.71999931,-36.4814682,9.77091026,310.17199707,-29.48400497,-4.76147461,-2.36195302,32.17118835,-12.23340988,448.34887695,-34.46343994,57.2681427,7.49154234
13.72999954,-34.82066345,11.08003616,309.91418457,-29.39076233,-4.66328049,-2.15156436,31.27656174,-11.61954689,448.3180542,-34.46343994,57.2681427,7.80416203
13.73999977,-35.18575287,10.12653732,308.56271362,-29.20259094,-4.66364288,-1.72621012,32.2924881,-11.12408066,448.41369629,-34.65118408,57.46525574,7.60603142
13.75,-35.82236481,10.61991215,308.64227295,-29.20259094,-4.66364288,-1.95740068,32.26702118,-12.936409,449.41552734,-34.84062195,57.46278381,7.64208317
13.75999928,-34.92700577,10.10050011,307.631073,-29.01441574,-4.66400528,-1.79122698,31.39684677,-12.4268074,450.50598145,-35.0284729,57.65795898,7.48703766
13.7699995,-36.05282211,9.98460579,306.99716187,-29.1082077,-4.56510544,-2.25529838,31.70016479,-11.79979038,450.99465942,-35.12239838,57.75554657,7.44473028
13.77999973,-34.71326065,10.98906994,307.24960327,-28.91948318,-4.7625618,-2.25094318,30.20897484,-11.89885998,451.98876953,-35.12023163,57.95226288,7.42164707
13.78999996,-35.17174149,10.11403179,305.98605347,-28.9200325,-4.56546783,-1.59512639,31.70272255,-12.17800045,452.04406738,-35.12023163,57.95226288,7.67638254
13.79999924,-36.04968643,10.07779026,304.9677124,-28.92313004,-4.56653976,-2.02511549,31.73784256,-12.12909794,451.98144531,-35.12023163,57.95226288,7.81951666
13.80999947,-33.65814972,11.36714363,305.01174927,-28.92144203,-4.76329041,-1.9455657,30.44668961,-12.48592091,451.98370361,-35.12023163,57.95226288,7.64133263
13.81999969,-33.64718628,9.62598228,304.10064697,-28.92198944,-4.56619644,-1.95375061,30.93921089,-11.19613934,452.02258301,-35.12023163,57.95226288,7.61578417
13.82999992,-35.17613983,10.14564991,304.42993164,-28.82819748,-4.66509628,-2.08719158,31.7022419,-12.29217243,452.58331299,-35.2141571,58.04985046,7.59066916
13.84000015,-34.7770462,10.28795719,303.46777344,-29.01832962,-4.66546249,-1.95369864,30.21010017,-11.74210262,453.55215454,-35.40359497,58.04738235,7.65382576
13.84999943,-35.42209625,10.52786255,303.99490356,-28.92198944,-4.56619644,-2.11886859,30.71596909,-12.48832989,453.68353271,-35.40200806,58.24503326,7.59067869
13.85999966,-34.9344101,10.03847694,304.04168701,-29.11157608,-4.76365662,-1.99050879,31.96759033,-12.01495075,455.20254517,-35.49536133,58.34169006,7.65878582
